"Het Duitse Rijk",156,150,149,152,148,137,148,141,140,147,165,172,179,150,
"Marokko",156,150,147,150,149,147,144,142,140,133,138,149,157,165,
"Groot-Brittanië",145,150,147,147,159,162,168,171,201,190,199,177,168,140,
"Frankrijk",145,150,150,153,157,162,167,169,166,161,175,156,163,171,
"Italië",145,151,151,139,154,154,166,169,165,172,181,188,188,199,
"Rusland",145,149,145,145,149,156,154,158,156,164,168,174,180,185,
"Zweden",145,148,144,147,148,156,164,170,157,146,156,146,135,144,
"Het Ottomaanse Rijk",145,149,149,146,158,168,178,196,195,245,206,222,237,247,
"Oostenrijk-Hongarije",145,151,151,154,161,183,186,194,219,204,200,205,194,194,
"Spanje",145,140,146,149,153,151,151,162,158,161,158,171,177,189,
"Denemarken",121,115,116,118,101,85,40,22,22,21,20,19,17,16,
"Portugal",73,71,73,62,55,53,48,47,42,41,42,49,47,35,
"België",73,73,69,73,71,71,67,61,52,53,48,45,42,44,
"Roemenië",61,60,62,61,62,57,63,60,57,57,46,41,37,38,
"Bulgarije",49,49,51,49,47,47,42,37,34,29,26,24,21,21,
"Polen",49,48,49,51,50,49,58,53,52,56,55,47,45,47,
"Servië",37,36,38,39,41,38,33,27,24,19,17,15,13,12,
